date,input,target,pred,set
1990-01-01,0.16644240818785772,0.0,0.111429006,train
1990-01-02,0.0003827571229335596,0.0006140573416947209,0.13202602,train
1990-01-03,0.3061306808454237,0.0,0.15885474,train
1990-01-04,0.6182444464012938,0.0,0.20139086,train
1990-01-05,0.13495549591292666,0.0,0.17363188,train
1990-01-06,0.7693163604400352,0.06891916955970132,0.20352057,train
1990-01-07,2.9052550131646098,0.015868472806002,0.54428345,train
1990-01-08,2.269301870711209,0.012922867851586545,0.8944892,train
1990-01-09,1.1520096428074549,1.6597347441358585,1.0704994,train
1990-01-10,0.5786840517379475,0.011304635909735374,1.0777041,train
1990-01-11,0.0,0.0,0.88086635,train
1990-01-12,0.0,0.2918087363509343,0.62757945,train
1990-01-13,0.17803395608574418,0.0393692186471656,0.41100708,train
1990-01-14,1.0296857427432613,0.0009095918924541035,0.33045015,train
1990-01-15,2.971462598519014,0.001733172957079909,0.5527969,train
1990-01-16,0.9297756835461443,1.3221185382000835,0.50178003,train
1990-01-17,0.36629162385542896,0.15891616918792142,0.36202177,train
1990-01-18,0.9891382897631523,0.6766856354971278,0.31704247,train
1990-01-19,0.1447099992818357,0.07131763620412698,0.18496032,train
1990-01-20,0.0086941947629838,0.05795020020064938,0.08037076,train
1990-01-21,0.0,0.0,0.014808595,train
1990-01-22,0.017137389689574213,0.0,0.0,train
1990-01-23,0.3273039700802104,0.0,0.0,train
1990-01-24,0.07042971164469074,0.0,0.0,train
1990-01-25,0.00011830742555872352,0.0,0.0,train
1990-01-26,1.5780338501564518e-05,0.0,0.0,train
1990-01-27,0.0,0.0,0.0,train
1990-01-28,0.0,0.0,0.0,train
1990-01-29,0.0,0.0,0.0,train
1990-01-30,0.0,0.0,0.0,train
1990-01-31,1.5297645794457836e-05,0.0,0.0,train
1990-02-01,0.01245347240030545,0.08135470732682318,0.0,train
1990-02-02,0.009823483498473345,0.3470244136749391,0.0,train
1990-02-03,0.7759913194256502,0.045500148792080024,0.029838383,train
1990-02-04,0.0,6.237650363096604,0.016435914,train
1990-02-05,0.0,8.048579289561726,0.003818214,train
1990-02-06,0.009629369740216642,0.313282430505895,0.0,train
1990-02-07,0.012018910096930624,0.0,0.0,train
1990-02-08,0.3803959910848203,0.03343963021249473,0.008227058,train
1990-02-09,1.5418917131463197,0.07930135575717151,0.13090682,train
1990-02-10,3.408699773234438,0.9794375281006952,0.56684697,train
1990-02-11,0.007174543152705026,1.4184767391282578,0.49625966,train
1990-02-12,0.0,1.3651269037801366,0.37400472,train
1990-02-13,0.0005246138261147296,0.2504192846090068,0.2498739,train
1990-02-14,1.7403922625551567,0.035148646070443317,0.34858516,train
1990-02-15,0.06006822665222002,0.0,0.23669869,train
1990-02-16,0.027765054647123706,0.02235318718671007,0.13968477,train
1990-02-17,0.010680872917258026,0.21076027823906204,0.06847977,train
1990-02-18,0.0,1.1068394252484426,0.021073952,train
1990-02-19,0.0,0.0013442245575735416,0.0,train
1990-02-20,0.275809947653076,0.07814882945215769,0.0,train
1990-02-21,0.12486929242782926,0.0,0.0,train
1990-02-22,0.0,0.5542277570173372,0.0,train
1990-02-23,2.84274443808831e-05,0.8445595023250978,0.0,train
1990-02-24,0.0,0.02904352903194767,0.0,train
1990-02-25,0.0,0.018141283771007415,0.0,train
1990-02-26,0.020754639267803666,0.0,0.0,train
1990-02-27,0.006828753979000438,0.0,0.0,train
1990-02-28,0.026895103707589692,0.19092848616240274,0.0,train
1990-03-01,0.0,1.3679016559378507,0.0,train
1990-03-02,0.0,0.049059908554986834,0.0,train
1990-03-03,0.0,0.0,0.0,train
1990-03-04,0.0,0.022400332526017346,0.0,train
1990-03-05,0.7317106005612527,0.8032042406358699,0.027066857,train
1990-03-06,0.09755734662309576,1.5010276115225363,0.020989008,train
1990-03-07,0.3569754700711351,2.2391506378477275,0.0323568,train
1990-03-08,0.13545564093181187,0.06920233343898172,0.024370752,train
1990-03-09,0.40484515160721957,0.0,0.03681486,train
1990-03-10,0.3707616807990954,0.0,0.044275016,train
1990-03-11,4.938317695783719e-06,0.0,0.021706097,train
1990-03-12,0.0,0.47978538321130726,0.0045245364,train
1990-03-13,0.0,0.12054742363045295,0.0,train
1990-03-14,0.0,0.005747631292242657,0.0,train
1990-03-15,0.05237006717644461,0.11453338272279355,0.0,train
1990-03-16,1.4292851301761815,0.31955723148213655,0.091219276,train
1990-03-17,0.0014830419675593103,0.0,0.06065918,train
1990-03-18,0.2535773315350699,0.00013890318076680073,0.051865682,train
1990-03-19,0.8306368430944373,0.005047465655923011,0.09390756,train
1990-03-20,1.015812161293596,0.0,0.15330052,train
1990-03-21,0.7348018805038136,0.0,0.17595065,train
1990-03-22,0.3432203363992157,0.020368994899877445,0.14819753,train
1990-03-23,0.06455115682473392,0.0003433617863409656,0.09504722,train
1990-03-24,0.0988707280449404,0.0,0.056429073,train
1990-03-25,0.0,0.0,0.022368751,train
1990-03-26,0.0,0.004869404586245304,0.0,train
1990-03-27,7.648822897228918e-06,0.0,0.0,train
1990-03-28,0.7284006288903934,1.7088417003777048,0.026232421,train
1990-03-29,0.7416713898989344,0.4606289177755619,0.0662147,train
1990-03-30,1.4032694534085706,0.0,0.17285071,train
1990-03-31,0.5961005725948852,0.004869404586245304,0.18215762,train
1990-04-01,1.6205648330204783,0.09075843456375908,0.3138171,train
1990-04-02,0.4262491176445711,0.051184367629483835,0.28060967,train
1990-04-03,0.23919715295023367,0.003031031352766071,0.2138272,train
1990-04-04,0.06198190366102872,0.08673180030505956,0.13578342,train
