agg.raw_ECHAM5_R1_hist_MonthlyAverageLoss_MonthlyMaxLoss,200.0000045,"MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_ECHAM5_R1_hist_MSELoss,1.624519747,MSELoss
agg.raw_ECHAM5_R2_hist_AverageRainfallLoss_MaximumPrecipLoss,200.0000045,"MaximumPrecipLoss, AverageRainfallLoss"
agg.raw_ECHAM5_R2_hist_DryDayLoss_MaximumPrecipLoss_AverageRainfallLoss_RainfallVariance,200.0000045,"DryDayLoss, MaximumPrecipLoss, AverageRainfallLoss, RainfallVariance"
agg.raw_ECHAM5_R2_hist_DryDayLoss_MonthlyMaxLoss_MonthlyAverageLoss_RainfallVariance,0.674414858,"DryDayLoss, RainfallVariance, MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_ECHAM5_R2_hist_MonthlyAverageLoss_MonthlyMaxLoss,0.22425335,"MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_ECHAM5_R2_hist_MSELoss,1.540382563,MSELoss
agg.raw_ECHAM5_R3_hist_AverageRainfallLoss_MaximumPrecipLoss,1.517447797,"MaximumPrecipLoss, AverageRainfallLoss"
agg.raw_ECHAM5_R3_hist_DryDayLoss_MaximumPrecipLoss_AverageRainfallLoss_RainfallVariance,327.7410349,"DryDayLoss, MaximumPrecipLoss, AverageRainfallLoss, RainfallVariance"
agg.raw_ECHAM5_R3_hist_DryDayLoss_MonthlyMaxLoss_MonthlyAverageLoss_RainfallVariance,4.23540841,"DryDayLoss, RainfallVariance, MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_ECHAM5_R3_hist_MonthlyAverageLoss_MonthlyMaxLoss,200.0000045,"MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_ECHAM5_R3_hist_MSELoss,1.475049367,MSELoss
agg.raw_MIROC3.2_R1_hist_AverageRainfallLoss_MaximumPrecipLoss,1.701856362,"MaximumPrecipLoss, AverageRainfallLoss"
agg.raw_MIROC3.2_R1_hist_DryDayLoss_MaximumPrecipLoss_AverageRainfallLoss_RainfallVariance,200.0000045,"DryDayLoss, MaximumPrecipLoss, AverageRainfallLoss, RainfallVariance"
agg.raw_MIROC3.2_R1_hist_DryDayLoss_MonthlyMaxLoss_MonthlyAverageLoss_RainfallVariance,200.0000045,"DryDayLoss, RainfallVariance, MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_MIROC3.2_R1_hist_MonthlyAverageLoss_MonthlyMaxLoss,200.0000045,"MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_MIROC3.2_R1_hist_MSELoss,200.0000045,MSELoss
agg.raw_MIROC3.2_R2_hist_AverageRainfallLoss_MaximumPrecipLoss,200.0000045,"MaximumPrecipLoss, AverageRainfallLoss"
agg.raw_MIROC3.2_R2_hist_DryDayLoss_MaximumPrecipLoss_AverageRainfallLoss_RainfallVariance,24.99386119,"DryDayLoss, MaximumPrecipLoss, AverageRainfallLoss, RainfallVariance"
agg.raw_MIROC3.2_R2_hist_DryDayLoss_MonthlyMaxLoss_MonthlyAverageLoss_RainfallVariance,200.0000045,"DryDayLoss, RainfallVariance, MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_MIROC3.2_R2_hist_MonthlyAverageLoss_MonthlyMaxLoss,2.287904089,"MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_MIROC3.2_R2_hist_MSELoss,1.562718725,MSELoss
agg.raw_MIROC3.2_R3_hist_AverageRainfallLoss_MaximumPrecipLoss,1.26354685,"MaximumPrecipLoss, AverageRainfallLoss"
agg.raw_MIROC3.2_R3_hist_DryDayLoss_MaximumPrecipLoss_AverageRainfallLoss_RainfallVariance,200.0000045,"DryDayLoss, MaximumPrecipLoss, AverageRainfallLoss, RainfallVariance"
agg.raw_MIROC3.2_R3_hist_DryDayLoss_MonthlyMaxLoss_MonthlyAverageLoss_RainfallVariance,0.893985392,"DryDayLoss, RainfallVariance, MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_MIROC3.2_R3_hist_MonthlyAverageLoss_MonthlyMaxLoss,0.745251571,"MonthlyMaxLoss, MonthlyAverageLoss"
agg.raw_MIROC3.2_R3_hist_MSELoss,1.346987346,MSELoss
